"","TB_USCH","TB_USJP","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","T_USCH","T_USJP","T_USUK","EX_UKUS","EX_JPUS","EX_CHUS"
"1994-04-01",0.307963568101231,3.66425848172138,2.71283146850538,-0.709235284958513,1.70192691054086,1.64805837404248,3.46520011404248,-2.63479988595752,-18.2100718235921,-21.0626188747537,-19.44703471435,-26.4854330001996,-35.7103680326728,-2.7103680326728,59.7104408942828,65.0077963509388,49.7722464643983,-0.393594935537677,4.63941991037795,0.363461860627706
"1994-05-01",0.741769911504425,4.12429929457665,2.69173044036541,-0.700259108005646,1.67210953427763,1.35578826303715,3.25512964303715,-2.84487035696285,-18.2502819488586,-21.072918250139,-19.4925129147026,-25.8928410718588,-35.7681769662092,-2.86817696620919,60.4707327891352,65.7408005764033,50.4087592208472,-0.408261195410166,4.64201596583388,0.345361184038459
"1994-06-01",0.533968092081299,4.12411140935408,2.67104407992693,-0.723589056175815,1.65990406964573,1.36123928068071,3.23575090068071,-2.76424909931929,-18.2782871074276,-21.0537183223821,-19.4884911422829,-25.8206288964892,-35.1572216338912,-2.6572216338912,61.4240382922868,66.8119588969294,51.2875905089766,-0.422780985873396,4.63012032639094,0.316779603275477
"1994-07-01",0.100073268373745,4.31345268931891,2.65066539862207,-0.766089276597629,1.65088620299471,1.39626091302367,3.12853024302367,-2.67146975697633,-18.275245032598,-21.1144687959107,-19.4945936879427,-25.6365591534357,-34.5884573680369,-2.08845736803691,62.5345194828618,67.9987384109075,52.2992843149972,-0.436123629061957,4.5894980165938,0.280581925961474
"1994-08-01",0.422050970873787,4.46370028537008,2.65036006893189,-0.745565082260018,1.65219366691612,1.4478017846368,3.0218877846368,-2.5781122153632,-18.2792965834935,-21.0841028259792,-19.5057323228912,-25.7298731021631,-34.7353109692554,-2.23531096925539,63.622103534031,68.9223352360159,53.4340981218841,-0.433209968416723,4.60457400830949,0.27641888017307
"1994-09-01",0.377058641017685,4.6035078557884,2.62136659954557,-0.762344324458848,1.62982351285444,1.32942445438602,2.83871746438602,-2.66128253561398,-18.3239473821328,-21.097850390985,-19.5229119529861,-25.5969872601328,-34.866546703401,-2.166546703401,64.6917053918434,70.0734944633189,54.5592311310803,-0.448588452490251,4.59283744945888,0.254021870959146
"1994-10-01",0.656831119544592,4.93343721086291,2.60038692526993,-0.758844061658582,1.61194171043501,1.31669527114274,2.76003707114274,-2.63996292885726,-18.3446725611865,-21.0810770691208,-19.5363560342552,-25.4818467114341,-35.3243556369374,-2.02435563693739,65.8906860520334,71.1753611570791,55.7469413003129,-0.473995650515273,4.58856304767438,0.234914006913125
"1994-11-01",0.87505711639395,5.27338501081147,2.61997636224815,-0.756811428369726,1.61843140894447,1.16071327607441,2.63690344607441,-2.76309655392559,-18.3550596948261,-21.0742998054372,-19.5321950106623,-25.3912032469255,-34.9399735040103,-2.03997350401031,67.0367090347153,72.2003848144171,56.9250107325084,-0.463230744958307,4.58541635750123,0.258973908315037
"1994-12-01",1.14518774926631,5.58373965886223,2.64288151020301,-0.755817010416568,1.63930557076277,1.10035839867275,2.50917196867275,-2.69082803132725,-18.3219375420976,-21.1370712865797,-19.4830748673989,-25.3762953145886,-34.6399735040103,-2.3399735040103,67.7783012970088,73.1974337289662,57.6354278225667,-0.443852140512868,4.60699252452013,0.284351532355325
"1995-01-01",0.95994169322864,5.69367179199326,2.61374312288344,-0.743188478565649,1.63411378854743,1.2741418010022,2.5221911810022,-2.2778088189978,-18.3670899243072,-21.1160167298097,-19.5061464469274,-25.7516673431296,-34.3868271052288,-2.0868271052288,68.7581146744227,73.8941111072662,58.591978375784,-0.45400127176823,4.60282744390961,0.251769880102533
"1995-02-01",0.901734172237514,5.75341761946643,2.60248497610718,-0.764011194986779,1.62491605289372,1.1513461054598,2.3498885654598,-2.4501114345402,-18.3872333252017,-21.1189151617983,-19.542765444731,-26.2935112827655,-33.8336807064472,-2.0336807064472,69.4634651721998,74.8121823917929,59.3405251297209,-0.452348694007015,4.58738089057841,0.240197305880037
"1995-03-01",0.511791784097703,5.71200389749844,2.52908551643269,-0.850954097517825,1.58713542507904,1.22907824802448,2.29291339802448,-2.30708660197552,-18.4611428778474,-21.2374827758624,-19.60988791972,-26.137715300094,-33.5227253741293,-2.1227253741293,70.2081668721543,75.8863167232231,60.1812577084942,-0.470128621433887,4.50556640184263,0.157772683872542
"1995-04-01",-0.156394940267041,5.63953273708171,2.50523351955376,-0.928111909389536,1.5949078941149,1.59346578311047,2.63822158311047,-1.86177841688953,-18.4754734957658,-21.3221688797563,-19.5716452119669,-26.0024922640474,-33.6117700418114,-2.3117700418114,71.0393022360942,76.8659237327272,60.9045572471723,-0.474555752592958,4.42711352159749,0.129623767793506
"1995-05-01",0.470307876507312,5.65970776394122,2.52492377518587,-0.898992115055528,1.59830770218345,1.50341472828647,2.63005756828647,-1.96994243171353,-18.4902087719062,-21.3261936973068,-19.6003598636453,-25.706266794663,-33.6851968424206,-2.48519684242061,71.9718827994932,77.7249003358329,61.7647807410383,-0.462097457674638,4.44397626063743,0.156405279164136
"1995-06-01",-0.242806351397998,5.45964973326795,2.53497348474444,-0.905233496199834,1.59625681169073,1.46698839387827,2.45983510387827,-1.94016489612173,-18.5024022135132,-21.3138751514205,-19.5990246697363,-25.7580918522368,-33.4586236430298,-2.4586236430298,73.0189964796674,78.8448654214633,62.6897775693064,-0.466748336525063,4.438353800345,0.147384986913058
"1995-07-01",-0.291318795430945,5.41140702770118,2.54090923535306,-0.864564487934242,1.58995217036107,1.53437148977201,2.44047157977201,-1.85952842022799,-18.486665818098,-21.3074522616908,-19.6107832017372,-25.6973668745179,-32.9586236430298,-2.25862364302979,74.2556032460164,79.9786019062372,63.784637450688,-0.466999120225437,4.47046095712958,0.144619689609943
"1995-08-01",-0.100752382544725,5.39207289976704,2.57996800540603,-0.773405023302725,1.60724715066751,1.51850520517854,2.43338566517854,-1.76661433482146,-18.4698187279005,-21.2244859480113,-19.6373065822268,-25.8138410473758,-32.8898593771755,-2.38985937717551,75.3268197943176,80.8753064840165,64.800330176304,-0.449035322809539,4.5511183534883,0.17914986562832
"1995-09-01",-0.23061678463094,5.27628029101253,2.57080235107838,-0.722403045308301,1.60752802493334,1.51087077144827,2.28397545144827,-1.71602454855173,-18.4930137272824,-21.1818884356382,-19.6568851845483,-25.7645903237055,-33.3632861777847,-2.5632861777847,76.322912533732,81.928558920611,65.7468637480093,-0.444044590075639,4.61061036136337,0.17126060943453
