"","TB_USCH","TB_USJP","TB_USUK","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","T_USCH","T_USJP","T_USUK","EX_UKUS","EX_JPUS","EX_CHUS"
"1991-03-01",7.87717391304348,5.86960307657146,-15.145384,2.77858323567155,-0.322751190956694,1.59061175435874,6.38916963303412,4.78018372703412,0.0801837270341199,-18.3806843908036,-20.9566457386638,-19.7903433118628,-23.5410188308511,-36.4420602741576,-0.542060274157599,0.0898690458087538,0.432378026132322,-0.0964862427462194,-0.599605436151581,4.92279957743202,0.330597873428613
"1991-04-01",7.92239130434783,5.60952234913323,-13.894149,2.81166386233133,-0.313946515375743,1.63337171245717,5.7287568318421,4.3581505228421,-0.7418494771579,-18.3302306915718,-20.9347101545139,-19.7213243145131,-23.6499428872253,-36.9576781412304,-1.65767814123041,0.198412971061781,0.412865672107823,0.153701646304741,-0.559444344668437,4.9208032153926,0.364573666732088
"1991-05-01",7.26125,5.41984714422761,-13.053612,2.81481609408556,-0.309680193849072,1.63501767707881,5.82787069461,4.59556114861,-0.60443885139,-18.3484370644682,-20.9304003443795,-19.7398617388404,-24.1622723567348,-37.188913875376,-1.988913875376,0.273641663451566,0.353086713981473,0.172769300196185,-0.544531156231162,4.92885964129586,0.376654026254045
"1991-06-01",7.24125,5.5302855149466,-12.164275,2.86992561769064,-0.317749673595785,1.67419517565245,6.15177106176283,5.02514942676283,-0.37485057323717,-18.2850347260798,-20.9206627528426,-19.6922618076109,-24.3276445476575,-36.7201496095217,-2.1201496095217,0.24344494909591,0.473958915477455,0.104505313767482,-0.500593453199742,4.93983722278754,0.425071637747083
"1991-07-01",7.18411417322835,5.54065442936951,-11.676085,2.88387239966223,-0.330609127096491,1.67724339229469,5.90240039481696,4.83892562181696,-0.96107437818304,-18.2419338646478,-20.9465172719021,-19.6684640560839,-24.2714880999548,-36.5357674765945,-1.8357674765945,0.515493883604688,0.616669381316526,0.465260006527642,-0.501562856486806,4.92602104170635,0.437028372564283
"1991-08-01",7.36172480620155,5.29036293894592,-11.628887,2.86694946592996,-0.345835168377523,1.65748089126908,5.63443854981194,4.52477804681194,-1.47522195318806,-18.2548049096267,-20.9232186437668,-19.6768297923479,-24.5279974505636,-36.5670032107402,-2.2670032107402,0.482958009532917,0.558421669773949,0.369220027449611,-0.521231296479871,4.91863988104399,0.418776122167837
"1991-09-01",7.5869696969697,5.17962010282987,-11.52705,2.83188937810418,-0.370228498165069,1.61964996615138,5.47888468969579,4.42767714069579,-1.57232285930421,-18.297815449098,-20.9506350657336,-19.7322770709086,-24.4339683829242,-36.4138568119586,-2.2138568119586,0.479607375616118,0.716292524787887,0.387516988033263,-0.54609623784791,4.90007238051407,0.392244769937309
"1991-10-01",7.73858208955224,4.94853097330245,-12.137614,2.82475881560162,-0.393866825353172,1.62942070078169,5.34131949089433,4.50293138989433,-1.49706861010567,-18.2958720143264,-20.9491241534538,-19.6928516846419,-24.4224363460166,-37.3294746790315,-2.4294746790315,0.600222839563566,0.678565707311952,0.535837448284961,-0.544124994166917,4.87345764289558,0.39075747923589
"1991-11-01",7.517,4.5220927224044,-13.378368,2.79685083039081,-0.410775064594677,1.59698438164524,5.37311201622272,4.80337325122272,-1.49662674877728,-18.3346550038675,-20.9525297060862,-19.7189273904287,-25.2434594011149,-37.3607104131771,-2.3607104131771,0.353104369468486,0.483224355389136,0.240800732474432,-0.57638861994975,4.86470043843445,0.361025466675991
"1991-12-01",7.64154580152672,4.03162121845212,-14.549168,2.74859748368615,-0.438327045985112,1.57127043478879,5.4121755942416,5.0296409062416,-1.4703590937584,-18.3713474560798,-21.0401303838401,-19.7201178732373,-25.0032909932176,-36.9185193467135,-2.5185193467135,0.391415306092264,0.678924801985919,0.537168405803356,-0.602784740479554,4.85233881006436,0.326061085320896
"1992-01-01",6.96,3.76488162893129,-14.07292,2.77354811354958,-0.441597813490347,1.58008404791244,6.31841828083035,5.87935933783035,-0.82064066216965,-18.3152247354755,-21.0037718756337,-19.697734910372,-25.3101923910256,-36.6341372137864,-2.2341372137864,0.383814121022334,0.392858596753432,0.190007095984394,-0.592774206413158,4.83199814154146,0.339254077995768
